SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
LUCH (OLYMP)            ,40258U,14058A,20302.71094567,-.00000044,00000-0,00000+0,0,9991,40258,0.0165,266.3151,0.0001150,327.5131,54.7210,1.00270734 
SJ-11-07                ,40261U,14059A,20302.82084216,.00000051,00000-0,20190-4,0,9992,40261,98.1705,24.2107,0.0013522,116.2185,244.0400,14.60542647
HIMAWARI-8              ,40267U,14060A,20302.51577156,-.00000279,00000-0,00000-0,0,9993,40267,0.0326,168.9716,0.0000763,38.6314,156.0719,1.00273197 
IRNSS-1C                ,40269U,14061A,20302.72848010,-.00000161,00000-0,00000+0,0,9998,40269,1.9903,165.3293,0.0020940,8.2347,209.2518,1.00272147 
INTELSAT 30 (IS-30)     ,40271U,14062A,20302.47758949,-.00000154,00000-0,00000-0,0,9998,40271,0.0181,262.2176,0.0002203,203.9759,7.9775,1.00270811 
ARSAT 1                 ,40272U,14062B,20302.48230023,-.00000263,00000-0,00000-0,0,9999,40272,0.0130,209.6042,0.0001599,1.5897,287.9249,1.00270167 
YAOGAN 22               ,40275U,14063A,20302.75150317,-.00000007,00000-0,10000-3,0,9990,40275,100.5107,55.4536,0.0006681,155.3397,204.8038,13.15424798
EXPRESS-AM6             ,40277U,14064A,20302.43536729,.00000093,00000-0,00000-0,0,9993,40277,0.0265,284.3884,0.0000446,284.0666,38.5254,1.00274271 
SJ-11-08                ,40286U,14066A,20302.61575166,.00000077,00000-0,24837-4,0,9993,40286,98.1121,61.1449,0.0012668,195.0581,165.0245,14.61795003
NAVSTAR 72 (USA 258)    ,40294U,14068A,20301.78977258,.00000052,00000-0,00000-0,0,9994,40294,55.4152,111.6215,0.0030903,48.6034,311.6953,2.00558044 
MERIDIAN 7              ,40296U,14069A,20302.51120795,.00000110,00000-0,00000+0,0,9999,40296,63.0343,106.6562,0.6953709,273.2861,19.1559,2.00616781 
ASNARO                  ,40298U,14070A,20302.76975993,.00001500,00000-0,73668-4,0,9997,40298,97.4108,22.5546,0.0001661,104.6197,9.9202,15.19588895
HODOYOSHI-1             ,40299U,14070B,20302.80370844,.00001015,00000-0,44389-4,0,9996,40299,97.3120,16.3788,0.0014676,86.0607,35.7124,15.24233607
QSAT-EOS                ,40301U,14070D,20302.80191000,.00003026,00000-0,11445-3,0,9995,40301,97.2820,14.1469,0.0026472,76.7230,41.6562,15.27387242
YAOGAN 23               ,40305U,14071A,20302.79512301,.00000955,00000-0,49786-4,0,9997,40305,97.5351,241.7080,0.0002278,70.4040,13.2752,15.18374908
YAOGAN 24               ,40310U,14072A,20302.78150350,.00000064,00000-0,16577-4,0,9998,40310,97.9145,62.0207,0.0020428,43.0794,317.2018,14.76257992
COSMOS 2501 [GLONASS-K] ,40315U,14075A,20301.49702987,-.00000027,00000-0,00000-0,0,9992,40315,63.8460,262.1585,0.0017798,214.7185,20.4323,2.13101366 
